YEAR,AIRLINE_ID,OP_UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ENTITY,GENERAL_MANAGE,PILOTS_COPILOTS,OTHER_FLT_PERS,PASS_GEN_SVC_ADMIN,MAINTENANCE,ARCFT_TRAF_HANDLING_GRP1,GEN_ARCFT_TRAF_HANDLING,AIRCRAFT_CONTROL,PASSENGER_HANDLING,CARGO_HANDLING,TRAINEES_INTRUCTOR,STATISTICAL,TRAFFIC_SOLICITERS,OTHER,TRANSPORT_RELATED,TOTAL
2019,21352,0WQ,Avjet Corporation,0WQ,Avjet Corporation,D,4,53,6,19,29,21,0,0,0,3,1,18,0,7,0,161
2019,21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",I,14,50,0,41,18,21,0,0,0,0,1,13,0,3,0,161
2019,21712,2HQ,Elite Airways LLC,2HQ,Elite Airways LLC,D,9,32,0,24,32,19,0,0,0,0,0,7,0,0,0,123
2019,21974,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",D,0,29,0,32,2,6,0,0,0,0,0,0,0,0,0,69
2019,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,D,14,54,11,0,104,90,0,0,0,0,4,45,5,20,0,347
2019,19917,5X,United Parcel Service,5X,United Parcel Service,A,0,356,0,0,262,0,15,17,0,0,20,77,2,12,0,761
2019,19917,5X,United Parcel Service,5X,United Parcel Service,D,0,1882,0,0,1383,0,77,90,0,0,108,405,10,64,0,4019
2019,19917,5X,United Parcel Service,5X,United Parcel Service,L,0,143,0,0,105,0,6,7,0,0,8,31,1,5,0,306
2019,19917,5X,United Parcel Service,5X,United Parcel Service,P,0,455,0,0,334,0,19,22,0,0,26,98,2,16,0,972
2019,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,D,341,1611,141,263,222,0,0,40,0,297,34,52,38,22,0,3061
2019,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,I,13,62,5,10,9,0,0,2,0,11,1,2,1,1,0,117
2019,19874,8C,Air Transport International,8C,Air Transport International,A,3,38,0,4,27,0,0,1,0,0,0,2,0,5,0,80
2019,19874,8C,Air Transport International,8C,Air Transport International,D,48,316,0,33,156,0,0,23,0,11,6,30,2,68,0,693
2019,20363,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,D,4,1748,46,1361,988,0,0,79,0,0,182,110,0,80,0,4598
2019,20190,9S,Southern Air Inc.,9S,Southern Air Inc.,D,1,363,0,3,36,0,0,13,0,0,0,1,0,1,0,418
2019,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,A,11,2337,0,4218,2633,0,0,85,2337,2864,83,2843,184,0,0,17595
2019,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,D,39,8586,0,15502,9677,0,0,312,8586,10523,305,10447,677,0,0,64654
2019,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,L,9,1961,0,3539,2209,0,0,71,1961,2403,70,2385,155,0,0,14763
2019,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,P,4,957,0,1727,1078,0,0,35,957,1173,34,1164,75,0,0,7204
2019,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,A,3,19,0,0,12,0,2,0,0,0,2,0,0,1,1,40
2019,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,D,28,214,0,0,133,0,17,0,0,0,21,6,2,13,8,442
2019,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,D,21,2893,99,5737,898,0,2921,234,1062,477,131,410,260,1867,0,17010
2019,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,L,1,155,5,306,48,0,156,13,57,25,7,22,14,100,0,909
2019,20409,B6,JetBlue Airways,B6,JetBlue Airways,D,39,2840,19,3888,726,0,107,257,4905,62,368,215,157,1214,0,14797
2019,20409,B6,JetBlue Airways,B6,JetBlue Airways,L,10,708,5,969,181,0,47,64,1222,0,0,53,39,302,0,3600
2019,21167,CP,Compass Airlines,CP,Compass Airlines,D,0,532,0,424,136,0,4,72,0,0,66,6,0,189,0,1429
2019,21167,CP,Compass Airlines,CP,Compass Airlines,L,0,4,0,3,1,0,0,0,0,0,0,0,0,1,0,9
2019,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,A,69,1872,0,3185,1233,0,658,114,3089,210,138,136,231,1927,0,12862
2019,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,D,342,9293,0,15809,6122,0,3265,568,15331,1040,683,673,1147,9566,0,63839
2019,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,L,41,1111,0,1891,732,0,391,68,1834,124,82,81,137,1144,0,7636
2019,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,P,29,789,0,1343,520,0,277,48,1302,88,58,57,97,813,0,5421
2019,20366,EV,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,D,0,1204,0,1072,517,0,0,13,0,0,0,0,0,0,0,2806
2019,20366,EV,ExpressJet Airlines LLC,EV,ExpressJet Airlines LLC,L,0,37,0,64,16,0,0,0,0,0,0,0,0,0,0,117
2019,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,D,25,1473,0,154,237,0,91,19,2496,0,42,258,0,9,0,4804
2019,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,L,1,49,0,5,8,0,3,1,83,0,1,9,0,0,0,160
2019,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,A,2783,670,48,0,814,0,944,995,0,428,99,53,146,10488,39618,57086
2019,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,D,715,2870,146,0,1183,0,290,57,0,13260,48,8,1,3589,75450,97617
2019,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,L,1057,90,6,0,204,0,325,88,0,8355,45,24,54,3714,12938,26900
2019,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,P,2594,916,42,0,885,0,1125,438,0,25,93,48,123,10436,16669,33394
2019,20368,G4,Allegiant Air,G4,Allegiant Air,D,46,953,89,1626,420,0,287,95,200,0,61,104,48,211,0,4140
2019,20500,G7,GoJet Airlines LLC d/b/a United Express,G7,GoJet Airlines LLC d/b/a United Express,S,0,419,0,289,56,0,0,56,0,0,82,0,0,75,0,977
2019,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,D,2,25,4,0,4,6,0,0,0,0,0,5,0,0,0,46
2019,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,I,2,38,6,0,7,9,0,0,0,0,0,7,0,0,0,69
2019,20402,GL,Miami Air International,GL,Miami Air International,D,8,31,0,66,28,0,11,7,0,0,2,24,5,0,0,182
2019,20402,GL,Miami Air International,GL,Miami Air International,I,8,28,0,58,24,0,10,7,0,0,2,22,5,0,0,164
2019,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,D,89,586,0,1466,419,0,298,132,893,684,23,316,102,76,0,5084
2019,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,P,42,273,0,685,196,0,139,62,417,319,11,147,48,35,0,2374
